Diet,Heating Energy Source,Transport,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,Weekly Electricity Usage,Carbon_Emission
omnivore,wood,public,154,never,1492,7,294,416.6
vegetarian,wood,private,280,rarely,4508,4,154,395.4
vegan,wood,walk/bicycle,271,frequently,19,4,308,444.6
vegan,electricity,private,73,frequently,7552,3,133,350.6
pescatarian,natural gas,private,252,frequently,2499,1,161,502.6
omnivore,coal,walk/bicycle,232,rarely,38,5,273,601.4
omnivore,coal,public,85,frequently,1046,3,238,452.8
pescatarian,coal,walk/bicycle,189,never,94,2,266,250.4
pescatarian,natural gas,walk/bicycle,111,very frequently,87,6,161,553.6
pescatarian,coal,public,264,frequently,1887,4,231,712.2
omnivore,coal,public,118,frequently,1945,6,329,472.0
pescatarian,electricity,private,223,never,2888,2,210,294.4
pescatarian,coal,private,246,very frequently,544,6,91,687.4
vegan,wood,walk/bicycle,61,never,54,1,112,201.2
pescatarian,electricity,private,60,never,6920,1,140,449.8
vegetarian,wood,walk/bicycle,123,very frequently,4,3,168,482.6
pescatarian,natural gas,public,76,never,266,7,308,435.0
vegetarian,wood,private,233,very frequently,5505,3,203,675.0
vegan,wood,public,94,frequently,826,6,91,497.4
vegetarian,wood,walk/bicycle,129,very frequently,99,1,147,582.8
vegan,natural gas,public,186,never,1277,4,301,314.6
pescatarian,electricity,private,105,rarely,8771,3,105,583.8
vegan,electricity,public,138,never,46,3,140,229.6
omnivore,natural gas,public,112,never,1401,7,161,397.4
pescatarian,coal,public,109,frequently,561,6,77,375.4
pescatarian,coal,public,261,very frequently,1604,3,133,534.6
pescatarian,natural gas,private,249,frequently,4265,1,203,466.8
pescatarian,electricity,walk/bicycle,217,rarely,77,4,259,313.4
pescatarian,coal,walk/bicycle,244,very frequently,28,1,273,559.6
omnivore,electricity,public,79,frequently,519,3,245,398.2
vegetarian,coal,walk/bicycle,248,rarely,50,1,49,263.4
vegetarian,natural gas,walk/bicycle,108,frequently,60,2,182,280.2
vegan,coal,public,180,very frequently,898,1,126,567.4
vegetarian,natural gas,private,123,frequently,7425,2,63,529.8
omnivore,wood,public,140,rarely,15,7,112,530.8
vegan,natural gas,private,87,frequently,2571,7,63,473.0
vegetarian,electricity,private,198,rarely,9885,4,182,810.2
vegan,electricity,walk/bicycle,228,very frequently,48,3,77,476.2
omnivore,wood,walk/bicycle,216,frequently,69,6,182,482.4
omnivore,coal,walk/bicycle,195,very frequently,13,2,147,456.8
vegan,wood,public,198,very frequently,1996,7,140,555.0
vegan,coal,public,168,rarely,194,1,203,152.8
vegan,coal,walk/bicycle,72,rarely,8,2,119,310.8
vegan,natural gas,public,140,frequently,1923,3,189,375.8
pescatarian,coal,walk/bicycle,203,rarely,90,2,273,355.4
vegetarian,electricity,private,224,rarely,3650,4,35,132.6
vegetarian,electricity,walk/bicycle,102,frequently,90,6,238,448.8
omnivore,coal,private,119,frequently,5769,7,196,729.2
vegan,wood,walk/bicycle,74,very frequently,66,3,168,592.0
pescatarian,electricity,walk/bicycle,202,frequently,62,1,119,311.2
vegan,wood,public,186,frequently,240,2,28,344.8
vegetarian,coal,public,250,frequently,332,7,49,444.4
vegan,electricity,walk/bicycle,186,very frequently,60,2,161,372.4
vegetarian,natural gas,walk/bicycle,183,frequently,72,5,259,448.2
omnivore,electricity,walk/bicycle,98,rarely,91,2,126,325.8
omnivore,coal,walk/bicycle,107,very frequently,77,2,119,470.0
vegetarian,wood,walk/bicycle,199,never,73,1,189,191.8
pescatarian,natural gas,private,172,frequently,2664,5,287,696.8
vegetarian,natural gas,private,88,very frequently,2317,6,266,586.0
pescatarian,electricity,public,98,never,1033,1,196,184.0
pescatarian,wood,walk/bicycle,213,very frequently,36,2,203,618.0
vegan,electricity,walk/bicycle,241,rarely,52,3,105,362.2
vegetarian,electricity,walk/bicycle,107,very frequently,32,2,287,461.0
omnivore,coal,private,71,rarely,2536,5,154,327.0
vegan,electricity,public,206,frequently,972,2,245,261.6
vegan,natural gas,walk/bicycle,93,very frequently,35,4,252,513.6
vegetarian,wood,public,285,rarely,1591,6,203,387.0
pescatarian,electricity,private,105,rarely,4763,5,112,379.4
omnivore,wood,public,282,never,482,7,224,372.6
omnivore,electricity,public,212,very frequently,1423,5,175,500.2
vegetarian,natural gas,walk/bicycle,267,rarely,53,2,84,289.2
vegetarian,coal,private,274,frequently,5167,3,266,739.6
vegetarian,electricity,walk/bicycle,83,never,29,2,301,204.6
vegan,electricity,private,123,very frequently,2632,6,294,499.8
vegan,electricity,private,50,frequently,3643,2,21,491.4
pescatarian,natural gas,public,107,rarely,1493,6,112,527.2
omnivore,coal,walk/bicycle,154,frequently,17,5,56,495.4
vegetarian,wood,public,95,rarely,1574,1,105,243.8
omnivore,electricity,private,278,rarely,1427,4,105,301.8
vegetarian,coal,public,145,frequently,772,5,217,402.6
omnivore,coal,walk/bicycle,109,frequently,24,4,126,327.2
vegetarian,coal,walk/bicycle,201,frequently,16,3,203,353.4
omnivore,natural gas,private,159,rarely,4669,7,105,693.8
omnivore,electricity,walk/bicycle,294,very frequently,44,7,154,607.6
pescatarian,wood,private,94,never,2131,7,133,353.4
pescatarian,wood,walk/bicycle,65,frequently,71,4,231,342.4
vegetarian,coal,private,178,rarely,4816,2,140,481.6
vegan,wood,private,175,frequently,5555,5,147,732.0
vegetarian,electricity,private,162,rarely,9107,3,252,1058.6
vegetarian,coal,public,145,frequently,1707,3,63,539.2
vegan,electricity,private,204,very frequently,10,6,70,591.0
vegetarian,coal,walk/bicycle,228,rarely,75,2,126,289.4
pescatarian,electricity,private,251,very frequently,4123,1,154,683.0
vegetarian,natural gas,private,168,never,5619,4,189,501.6
pescatarian,electricity,public,92,never,1857,3,210,226.8
vegan,wood,walk/bicycle,65,frequently,96,2,133,342.2
vegetarian,natural gas,public,270,very frequently,663,4,112,422.6
omnivore,wood,walk/bicycle,134,rarely,95,5,196,334.4
omnivore,electricity,private,274,frequently,5198,3,133,533.8
omnivore,natural gas,public,117,never,37,3,161,199.0
vegetarian,coal,walk/bicycle,116,frequently,84,1,189,290.6
pescatarian,natural gas,walk/bicycle,93,frequently,11,2,133,323.8
omnivore,wood,walk/bicycle,242,never,83,4,182,373.0
vegan,wood,private,145,very frequently,7848,5,35,1155.8
vegetarian,electricity,public,137,frequently,1079,5,168,275.0
omnivore,natural gas,public,200,never,1768,2,294,174.6
pescatarian,natural gas,public,185,never,1583,3,182,215.6
omnivore,electricity,walk/bicycle,223,rarely,44,4,126,344.6
pescatarian,wood,private,104,never,7864,5,238,738.8
vegetarian,natural gas,walk/bicycle,291,never,8,4,49,399.0
pescatarian,electricity,walk/bicycle,245,very frequently,94,6,133,418.6
vegan,coal,private,249,frequently,5836,3,252,657.2
omnivore,natural gas,public,285,very frequently,789,2,161,521.2
vegan,coal,walk/bicycle,138,very frequently,7,3,147,596.2
vegan,wood,walk/bicycle,292,never,19,1,119,303.6
omnivore,electricity,private,56,rarely,9332,3,105,962.2
omnivore,electricity,public,203,rarely,199,5,77,239.6
pescatarian,electricity,walk/bicycle,58,rarely,24,6,189,322.2
omnivore,electricity,walk/bicycle,63,never,53,3,161,108.4
vegan,electricity,private,246,never,6657,1,210,313.0
vegetarian,electricity,private,149,frequently,4783,7,49,668.8
pescatarian,electricity,walk/bicycle,78,rarely,4,1,273,255.4
pescatarian,wood,private,103,very frequently,9993,4,189,1151.2
omnivore,electricity,walk/bicycle,69,very frequently,25,1,322,509.6
omnivore,wood,private,128,very frequently,2901,6,294,897.6
pescatarian,coal,walk/bicycle,204,very frequently,44,2,210,551.4
vegetarian,electricity,public,208,never,1584,6,161,201.6
pescatarian,electricity,private,75,rarely,3636,1,154,238.4
vegan,natural gas,private,252,frequently,9727,2,168,304.6
pescatarian,coal,private,192,rarely,1485,2,98,429.6
vegan,natural gas,walk/bicycle,149,never,51,6,210,255.6
pescatarian,electricity,public,154,frequently,612,7,133,397.6
vegan,wood,public,60,never,901,5,238,329.4
omnivore,electricity,public,245,never,1371,6,252,351.8
omnivore,wood,private,161,never,759,4,273,358.0
pescatarian,coal,private,275,never,625,5,175,278.6
vegetarian,electricity,public,175,never,1691,6,154,262.2
omnivore,natural gas,walk/bicycle,180,rarely,80,5,133,414.2
pescatarian,wood,private,146,frequently,1846,2,77,437.6
vegan,electricity,public,153,frequently,410,2,105,353.6
vegetarian,electricity,walk/bicycle,132,rarely,15,7,63,255.6
vegan,electricity,walk/bicycle,235,rarely,92,3,168,273.2
vegan,coal,walk/bicycle,285,frequently,78,3,196,503.2
omnivore,coal,private,108,frequently,6109,6,49,943.4
pescatarian,natural gas,public,149,rarely,99,3,245,301.0
vegan,coal,private,66,never,670,2,294,405.2
pescatarian,coal,walk/bicycle,234,rarely,81,2,224,330.4
vegetarian,coal,private,82,very frequently,5916,6,140,874.8
pescatarian,wood,private,174,rarely,3091,3,245,435.0
vegetarian,electricity,public,271,rarely,1158,1,105,242.0
vegetarian,wood,private,245,very frequently,6488,6,154,971.8
pescatarian,natural gas,walk/bicycle,231,frequently,88,5,77,344.4
omnivore,natural gas,walk/bicycle,65,frequently,92,5,154,461.8
vegetarian,natural gas,walk/bicycle,222,never,78,7,154,398.6
vegan,wood,public,133,never,1182,1,217,261.6
vegan,natural gas,private,219,very frequently,7385,6,210,777.4
pescatarian,coal,walk/bicycle,166,rarely,28,7,147,408.0
pescatarian,natural gas,walk/bicycle,85,frequently,15,5,161,352.0
omnivore,coal,public,236,never,1131,7,217,650.0
omnivore,wood,private,122,very frequently,2003,2,98,506.6
omnivore,electricity,public,196,very frequently,179,7,126,439.8
vegan,wood,walk/bicycle,174,very frequently,11,4,280,467.0
pescatarian,electricity,walk/bicycle,141,never,13,6,147,384.2
omnivore,natural gas,public,260,rarely,1145,3,245,323.0
omnivore,coal,public,191,rarely,776,1,182,342.0
pescatarian,electricity,public,185,never,462,1,161,122.2
vegetarian,natural gas,walk/bicycle,235,frequently,97,5,168,273.6
vegetarian,electricity,private,252,never,9395,3,126,573.4
omnivore,wood,public,114,never,1688,7,287,268.2
vegan,electricity,private,94,rarely,2631,3,91,377.4
omnivore,wood,private,62,very frequently,242,2,196,508.4
pescatarian,coal,private,159,never,1480,1,63,297.6
pescatarian,coal,private,95,never,1695,2,56,234.4
omnivore,natural gas,public,148,never,1399,5,161,329.0
vegan,coal,public,60,frequently,1996,3,49,417.0
vegetarian,electricity,public,168,rarely,1034,5,294,303.2
pescatarian,natural gas,private,206,frequently,3318,6,147,506.2
vegetarian,electricity,walk/bicycle,108,frequently,17,3,203,287.8
vegetarian,coal,private,294,never,6631,5,147,348.2
pescatarian,wood,private,57,frequently,257,6,266,545.0
pescatarian,natural gas,public,112,never,1451,6,294,355.6
vegetarian,electricity,walk/bicycle,206,frequently,73,2,266,341.8
vegetarian,natural gas,walk/bicycle,201,rarely,97,5,147,352.6
vegan,wood,walk/bicycle,221,never,97,5,182,270.6
pescatarian,natural gas,private,281,frequently,1978,6,182,720.2
omnivore,natural gas,private,164,very frequently,3329,4,77,754.8
vegetarian,natural gas,walk/bicycle,107,rarely,33,6,161,204.2
omnivore,coal,private,275,frequently,9398,6,224,861.2
vegan,wood,private,141,never,227,5,231,198.4
vegetarian,coal,walk/bicycle,214,frequently,73,6,63,406.0
omnivore,coal,public,113,frequently,952,1,196,480.2
vegetarian,wood,private,293,frequently,2639,5,14,616.0
pescatarian,wood,walk/bicycle,122,rarely,63,2,168,255.4
vegan,wood,private,170,frequently,5928,3,231,378.0
pescatarian,electricity,public,240,frequently,1045,3,161,500.4
pescatarian,natural gas,private,180,never,1868,5,294,658.4
vegan,wood,walk/bicycle,106,frequently,76,7,175,676.8
vegetarian,wood,public,217,rarely,1012,7,203,356.2
vegetarian,natural gas,public,216,rarely,46,6,266,444.4
pescatarian,natural gas,walk/bicycle,257,never,31,6,266,323.2
pescatarian,natural gas,public,135,rarely,107,6,42,309.0
vegetarian,wood,private,168,rarely,8046,3,14,466.8
vegan,wood,walk/bicycle,206,rarely,74,3,154,254.6
vegan,coal,public,153,rarely,1949,2,140,372.8
vegetarian,coal,private,124,very frequently,2549,7,175,589.2
pescatarian,electricity,walk/bicycle,299,very frequently,66,1,224,413.8
vegan,coal,walk/bicycle,212,never,11,3,84,257.2
vegan,electricity,public,192,frequently,1219,1,203,300.6
omnivore,electricity,private,164,rarely,7816,4,21,612.6
vegan,electricity,walk/bicycle,211,frequently,72,6,238,387.8
vegan,electricity,public,251,rarely,236,7,168,161.2
pescatarian,coal,private,242,rarely,5478,1,168,556.2
omnivore,wood,private,194,never,1795,5,231,448.8
pescatarian,electricity,walk/bicycle,58,frequently,12,4,119,233.0
vegan,coal,walk/bicycle,152,rarely,28,3,203,262.0
pescatarian,wood,walk/bicycle,161,never,70,5,266,307.8
omnivore,wood,public,107,frequently,1934,7,203,327.0
pescatarian,electricity,walk/bicycle,151,rarely,7,4,98,196.8
vegetarian,natural gas,public,244,frequently,806,2,245,341.6
pescatarian,electricity,walk/bicycle,54,rarely,93,2,231,181.6
vegan,coal,public,181,rarely,1432,5,70,245.6
vegan,electricity,private,259,rarely,5018,6,56,464.6
vegetarian,natural gas,public,270,never,1425,4,126,334.8
pescatarian,coal,walk/bicycle,131,rarely,87,1,252,286.6
pescatarian,natural gas,public,160,never,1227,5,329,354.8
omnivore,electricity,walk/bicycle,139,frequently,79,3,238,354.8
vegetarian,natural gas,walk/bicycle,73,never,93,6,140,245.2
vegan,wood,walk/bicycle,161,never,37,5,231,267.2
omnivore,natural gas,private,133,never,8908,2,119,485.0
vegetarian,electricity,walk/bicycle,241,never,24,5,147,299.4
pescatarian,electricity,walk/bicycle,138,frequently,14,6,252,289.2
omnivore,wood,public,279,frequently,207,2,182,410.8
pescatarian,coal,walk/bicycle,272,never,85,2,168,278.6
vegetarian,electricity,private,150,never,8805,7,175,312.6
omnivore,coal,walk/bicycle,78,never,97,3,210,286.4
pescatarian,natural gas,walk/bicycle,106,never,19,2,154,164.2
vegetarian,wood,private,192,frequently,1485,7,98,817.2
omnivore,coal,walk/bicycle,89,very frequently,24,1,119,491.4
vegan,electricity,walk/bicycle,284,never,10,2,168,311.2
vegetarian,wood,public,272,never,486,4,112,444.6
vegan,electricity,public,294,frequently,582,1,126,400.2
vegan,natural gas,walk/bicycle,126,rarely,81,7,189,350.6
vegan,wood,public,185,very frequently,79,6,301,646.2
vegan,natural gas,public,70,never,1618,5,266,347.6
vegan,natural gas,public,73,frequently,1933,1,175,304.4
omnivore,natural gas,private,147,frequently,8463,5,161,963.6
omnivore,electricity,walk/bicycle,150,never,31,1,119,100.2
vegan,natural gas,walk/bicycle,109,frequently,69,1,119,417.4
omnivore,electricity,public,177,very frequently,1764,1,203,510.8
vegetarian,natural gas,private,278,rarely,7150,2,147,857.2
vegan,wood,walk/bicycle,91,very frequently,49,6,168,528.6
vegetarian,coal,private,205,frequently,3121,4,273,449.6
vegan,electricity,private,166,rarely,8476,1,252,668.6
vegan,natural gas,walk/bicycle,147,very frequently,73,3,175,490.8
vegan,natural gas,private,238,frequently,7850,7,112,465.2
pescatarian,electricity,walk/bicycle,158,never,70,4,119,164.4
omnivore,natural gas,walk/bicycle,123,never,4,2,168,227.6
pescatarian,natural gas,walk/bicycle,209,very frequently,3,1,175,549.2
pescatarian,natural gas,walk/bicycle,247,very frequently,9,5,217,564.2
pescatarian,electricity,private,284,very frequently,8944,1,196,684.4
pescatarian,coal,walk/bicycle,235,never,79,5,56,355.0
omnivore,wood,walk/bicycle,124,never,21,3,77,232.8
vegetarian,wood,public,226,rarely,413,3,35,317.2
omnivore,coal,public,274,rarely,789,6,77,452.6
vegetarian,coal,public,225,frequently,1963,4,168,449.4
pescatarian,wood,public,238,never,145,2,126,112.6
pescatarian,natural gas,private,221,rarely,6986,7,147,837.4
omnivore,coal,private,191,rarely,1737,4,175,424.2
pescatarian,coal,public,260,very frequently,619,4,119,499.8
vegetarian,electricity,walk/bicycle,181,never,33,2,280,287.8
vegetarian,natural gas,walk/bicycle,59,frequently,7,3,154,367.2
omnivore,coal,private,164,rarely,523,1,196,298.2
vegan,natural gas,private,236,never,3384,3,196,439.8
vegan,natural gas,private,67,frequently,9215,3,56,894.2
pescatarian,coal,private,66,frequently,6243,6,182,517.4
pescatarian,natural gas,public,134,never,263,3,336,286.8
vegetarian,natural gas,walk/bicycle,145,rarely,24,7,280,331.8
omnivore,coal,walk/bicycle,227,frequently,60,6,105,533.8
vegetarian,natural gas,private,231,very frequently,1008,2,84,641.2
omnivore,coal,public,168,rarely,1208,6,140,453.4
vegan,wood,public,145,frequently,1840,4,21,348.0
vegetarian,natural gas,public,53,rarely,1083,6,224,368.2
vegan,wood,walk/bicycle,58,rarely,34,2,154,253.2
pescatarian,wood,walk/bicycle,287,frequently,66,7,105,394.6
pescatarian,coal,public,277,rarely,1753,4,98,495.4
pescatarian,natural gas,private,207,never,5441,3,196,155.0
omnivore,electricity,private,276,frequently,5263,3,182,459.4
pescatarian,natural gas,walk/bicycle,207,very frequently,2,6,126,468.4
pescatarian,coal,walk/bicycle,261,rarely,9,6,175,371.8
pescatarian,electricity,private,171,frequently,975,3,84,296.8
vegetarian,wood,public,279,very frequently,720,5,147,469.0
vegan,coal,public,179,very frequently,1215,1,154,437.2
pescatarian,wood,public,124,very frequently,1612,4,273,733.2
omnivore,wood,public,286,very frequently,1499,6,315,659.6
pescatarian,electricity,public,271,very frequently,1713,6,0,433.4
vegetarian,electricity,walk/bicycle,71,never,59,5,105,310.6
omnivore,wood,private,129,never,3433,1,147,402.6
vegan,coal,walk/bicycle,114,very frequently,59,7,189,642.6
omnivore,coal,public,72,rarely,350,7,175,401.0
pescatarian,natural gas,walk/bicycle,188,never,87,6,224,189.8
pescatarian,coal,public,227,never,1655,6,266,325.0
vegetarian,natural gas,public,284,frequently,1486,3,133,491.4
vegetarian,electricity,public,194,never,458,6,245,295.8
omnivore,electricity,walk/bicycle,214,very frequently,42,7,161,528.0
vegan,coal,private,248,frequently,8338,4,112,756.0
vegan,coal,public,64,never,688,3,175,260.6
vegan,natural gas,private,263,rarely,3847,1,168,503.2
vegetarian,coal,walk/bicycle,254,very frequently,94,2,252,568.4
omnivore,coal,public,150,very frequently,1376,5,273,762.0
omnivore,wood,public,245,never,1230,5,42,415.2
pescatarian,wood,private,84,never,1960,1,287,257.2
vegetarian,electricity,public,108,frequently,1486,6,224,363.8
omnivore,coal,walk/bicycle,134,never,9,5,168,336.2
vegetarian,electricity,walk/bicycle,53,never,1,7,203,188.2
vegetarian,electricity,public,79,frequently,173,5,98,318.6
vegan,electricity,walk/bicycle,180,very frequently,96,5,280,369.6
vegetarian,wood,public,116,rarely,957,4,196,377.2
vegan,coal,public,179,never,1066,3,238,298.2
vegetarian,electricity,private,102,rarely,3890,1,196,429.6
vegan,electricity,private,143,rarely,2453,7,161,452.2
pescatarian,electricity,walk/bicycle,209,frequently,92,4,154,402.4
vegan,wood,private,61,never,6956,1,56,542.6
pescatarian,natural gas,walk/bicycle,290,very frequently,19,7,147,463.4
vegan,electricity,public,72,very frequently,987,7,196,479.0
omnivore,natural gas,public,299,rarely,1620,7,161,416.4
omnivore,electricity,public,238,frequently,1085,7,175,443.2
vegan,electricity,walk/bicycle,173,very frequently,83,2,203,471.6
vegetarian,electricity,walk/bicycle,57,very frequently,77,7,175,706.2
omnivore,electricity,private,211,rarely,3730,1,168,480.2
pescatarian,wood,public,219,never,1193,5,105,323.2
pescatarian,electricity,private,171,frequently,1707,4,231,519.4
vegetarian,electricity,public,239,never,936,3,182,252.2
vegan,coal,public,108,very frequently,405,4,42,419.0
vegetarian,wood,walk/bicycle,193,never,85,2,266,244.0
pescatarian,electricity,walk/bicycle,62,frequently,70,6,252,434.2
vegetarian,electricity,walk/bicycle,143,rarely,83,6,63,151.0
omnivore,coal,private,235,very frequently,2187,6,182,784.6
vegan,coal,private,129,frequently,5473,4,182,781.0
pescatarian,electricity,public,185,rarely,238,4,252,238.0
vegetarian,coal,public,67,rarely,1886,5,168,264.2
omnivore,wood,public,66,very frequently,635,1,112,485.2
omnivore,coal,walk/bicycle,219,frequently,31,1,315,494.2
vegan,natural gas,public,92,frequently,1968,1,168,303.4
vegetarian,coal,public,173,rarely,952,4,70,426.0
vegan,coal,walk/bicycle,122,very frequently,97,7,238,519.6
pescatarian,coal,walk/bicycle,228,very frequently,32,6,210,651.2
vegan,coal,private,62,never,4555,2,301,413.4
pescatarian,coal,walk/bicycle,212,very frequently,70,4,329,665.6
pescatarian,wood,public,274,very frequently,406,5,98,539.2
pescatarian,coal,private,83,rarely,589,7,133,364.4
omnivore,electricity,public,219,never,1484,3,196,279.4
pescatarian,natural gas,private,196,never,8809,7,196,761.4
vegan,wood,private,107,never,9316,5,168,959.4
vegan,wood,walk/bicycle,191,never,70,2,203,186.2
vegan,coal,public,146,frequently,630,6,49,415.8
vegetarian,electricity,public,208,never,1319,5,266,355.4
pescatarian,coal,walk/bicycle,156,very frequently,91,1,252,493.2
vegetarian,natural gas,private,192,frequently,2891,6,252,489.4
vegetarian,coal,private,77,frequently,4538,5,217,449.8
vegetarian,wood,walk/bicycle,112,frequently,64,4,133,360.8
omnivore,natural gas,walk/bicycle,238,rarely,36,3,301,309.6
omnivore,electricity,public,289,frequently,647,3,105,421.2
pescatarian,electricity,private,263,very frequently,8242,2,259,1079.8
vegetarian,coal,public,151,never,1274,7,231,427.4
vegetarian,coal,private,218,never,1817,2,315,322.0
omnivore,wood,public,54,very frequently,631,1,224,491.0
omnivore,coal,walk/bicycle,170,very frequently,11,4,238,655.8
pescatarian,coal,walk/bicycle,126,never,50,2,126,255.8
omnivore,electricity,walk/bicycle,286,rarely,5,5,154,369.0
pescatarian,coal,private,295,rarely,5762,7,210,792.4
pescatarian,natural gas,public,69,very frequently,1481,6,140,527.2
pescatarian,wood,walk/bicycle,234,never,25,6,294,236.2
vegan,natural gas,public,200,never,1792,2,119,273.2
pescatarian,coal,public,81,very frequently,1047,1,273,531.6
pescatarian,electricity,private,135,very frequently,6414,7,175,705.2
vegetarian,electricity,private,81,never,6105,4,147,109.0
pescatarian,wood,public,64,very frequently,423,5,119,436.0
omnivore,coal,private,85,never,6044,2,56,446.4
pescatarian,electricity,private,280,never,9193,5,161,801.4
vegan,electricity,private,276,very frequently,2016,7,105,588.4
omnivore,coal,public,60,never,151,1,56,175.4
vegan,coal,public,225,frequently,838,2,266,436.2
omnivore,coal,public,284,rarely,279,5,77,312.2
vegan,electricity,walk/bicycle,231,rarely,69,1,112,219.4
vegan,electricity,public,229,very frequently,1808,6,91,647.0
vegetarian,wood,walk/bicycle,163,never,58,2,238,343.6
vegan,wood,public,272,rarely,1489,2,77,195.4
pescatarian,electricity,walk/bicycle,88,frequently,97,6,259,250.6
vegetarian,electricity,walk/bicycle,297,very frequently,46,4,322,372.4
pescatarian,natural gas,private,214,very frequently,9410,3,231,620.8
pescatarian,wood,walk/bicycle,106,never,91,7,0,304.0
vegetarian,coal,walk/bicycle,93,very frequently,65,4,203,585.2
vegan,natural gas,private,275,rarely,90,4,280,281.6
omnivore,wood,walk/bicycle,265,frequently,39,5,217,449.4
vegan,natural gas,private,204,very frequently,5685,2,126,622.0
omnivore,electricity,private,58,never,3544,1,231,428.2
vegetarian,coal,public,145,never,1978,1,273,278.2
pescatarian,natural gas,public,143,rarely,1403,3,238,275.2
omnivore,electricity,private,232,never,5437,3,14,185.0
vegetarian,electricity,walk/bicycle,84,never,38,6,182,220.2
vegan,coal,public,253,very frequently,850,4,217,441.2
pescatarian,coal,public,69,never,856,7,210,278.8
vegan,electricity,public,89,very frequently,1781,4,266,606.2
vegetarian,wood,walk/bicycle,175,very frequently,83,5,70,604.4
vegetarian,natural gas,public,209,rarely,1955,4,147,242.2
vegetarian,coal,public,173,never,1477,5,133,253.4
pescatarian,electricity,walk/bicycle,137,very frequently,4,5,35,532.8
vegetarian,electricity,walk/bicycle,97,never,24,5,231,318.0
vegan,electricity,public,249,frequently,1006,7,63,386.6
omnivore,natural gas,private,275,never,5647,3,98,667.6
vegan,coal,walk/bicycle,228,rarely,55,6,203,473.2
omnivore,coal,walk/bicycle,50,rarely,98,6,196,250.8
omnivore,wood,public,149,rarely,880,3,238,312.6
pescatarian,coal,public,178,very frequently,759,4,203,651.4
vegetarian,natural gas,walk/bicycle,273,never,46,7,91,423.0
vegetarian,natural gas,walk/bicycle,141,frequently,44,2,126,276.2
omnivore,electricity,public,206,frequently,1425,2,252,393.0
vegan,wood,walk/bicycle,139,very frequently,1,3,203,495.6
vegetarian,natural gas,walk/bicycle,115,rarely,38,3,217,257.8
vegetarian,coal,walk/bicycle,181,rarely,92,7,238,295.2
omnivore,wood,public,102,very frequently,1332,1,147,546.2
vegetarian,wood,private,226,never,8641,2,84,585.6
vegetarian,natural gas,walk/bicycle,213,very frequently,21,1,105,661.6
vegan,electricity,private,53,very frequently,2060,7,175,613.4
vegan,natural gas,walk/bicycle,118,never,99,5,140,274.0
pescatarian,electricity,private,208,rarely,3899,4,182,654.4
vegetarian,wood,walk/bicycle,186,very frequently,14,2,154,470.2
vegan,electricity,walk/bicycle,189,rarely,39,4,217,201.4
omnivore,natural gas,public,282,rarely,1308,5,140,388.4
vegan,electricity,private,183,rarely,6583,1,231,582.4
omnivore,coal,public,298,never,401,5,231,344.0
vegetarian,natural gas,public,152,frequently,1388,6,217,446.4
omnivore,coal,private,203,very frequently,1841,2,203,519.8
vegetarian,natural gas,public,119,frequently,841,7,84,458.0
pescatarian,wood,private,275,rarely,9272,7,182,1141.4
pescatarian,electricity,public,298,frequently,1568,6,140,349.8
vegan,electricity,walk/bicycle,67,never,48,1,42,88.6
vegan,natural gas,private,245,frequently,1325,5,266,698.2
vegetarian,wood,private,95,rarely,7545,2,126,706.2
vegetarian,natural gas,walk/bicycle,133,frequently,74,7,126,515.0
vegetarian,coal,private,55,frequently,4762,6,147,976.4
pescatarian,electricity,public,127,frequently,1944,2,133,368.6
vegan,coal,public,147,very frequently,438,1,91,453.6
vegetarian,natural gas,walk/bicycle,178,rarely,86,6,84,299.2
pescatarian,coal,walk/bicycle,210,frequently,11,6,210,392.2
vegan,coal,private,212,never,4028,6,308,523.8
vegan,coal,private,96,rarely,4071,1,140,396.6
pescatarian,electricity,public,116,frequently,1507,5,63,409.2
omnivore,natural gas,public,69,frequently,301,4,196,230.0
vegan,natural gas,public,264,frequently,141,2,112,311.8
vegan,electricity,walk/bicycle,58,rarely,62,7,294,233.6
vegan,wood,public,162,never,1298,1,287,323.8
pescatarian,coal,private,207,very frequently,1486,4,49,704.4
vegan,electricity,walk/bicycle,250,never,19,6,203,224.6
pescatarian,electricity,public,239,never,734,4,7,240.8
omnivore,electricity,private,138,never,7266,6,196,831.0
vegetarian,electricity,public,60,frequently,1454,1,266,426.8
pescatarian,wood,walk/bicycle,205,rarely,17,4,112,461.4
vegetarian,natural gas,private,158,never,3997,4,203,592.6
pescatarian,natural gas,walk/bicycle,272,rarely,31,5,308,339.8
omnivore,natural gas,private,222,rarely,8652,4,70,679.0
vegetarian,natural gas,public,144,never,1687,6,168,466.2
vegetarian,wood,public,68,never,1884,6,140,190.2
vegetarian,natural gas,private,93,never,430,4,273,257.4
pescatarian,wood,public,266,never,76,6,259,281.0
vegan,electricity,public,68,very frequently,1210,3,154,477.6
vegetarian,natural gas,private,161,rarely,8083,1,0,644.6
omnivore,electricity,public,180,rarely,977,5,196,326.6
omnivore,natural gas,private,173,very frequently,4698,5,252,1135.8
omnivore,natural gas,private,128,frequently,5698,7,77,450.2
vegetarian,wood,walk/bicycle,275,never,73,3,70,150.2
vegan,electricity,walk/bicycle,221,never,63,1,231,97.6
vegan,wood,public,224,rarely,1997,5,273,275.2
